Name,Volume,Sugar,Calories,Price,Popularity (득표수),AI_score
제주 한라봉 에이드,240,31,130,"1,400",32,15.79593
제티,175,19,115,"1,200",28,18.72357
쌕쌕 오렌지,238,25,110,"1,200",26,19.66575
코코 리치,240,32,135,"1,200",25,20.76496
포카리 스웨트,245,15,60,"1,200",24,18.09545
데미소다,250,30,125,"1,200",18,20.4509
포도 봉봉 (제로),340,0,0,"1,400",14,10.928
스퀴즈 포도,190,25,105,"1,200",11,19.66575
스퀴즈 사과,190,22,95,"1,200",11,19.19466
블랙 자두,230,34,142,"1,400",10,16.26702
망고,400,24,104,"1,800",5,5.07272
알로에,500,21,90,"1,800",4,4.60163
아이스티 립톤 (캔),355,0,0,"1,400",3,10.928
아이스티 립톤 (병),500,0,0,"1,900",2,-1.102
갈배,238,26,112,"1,400",1,15.01078
